Beginning of Training Log File
loss: 18.082859  [1408128/6824256]  time: 68.50582695007324
loss: 22.936710  [1536128/6824256]  time: 68.43442893028259
loss: 19.134098  [1664128/6824256]  time: 68.4161229133606
loss: 14.676825  [1792128/6824256]  time: 68.40734076499939
loss: 17.439789  [1920128/6824256]  time: 68.45456194877625
loss: 21.105011  [2048128/6824256]  time: 68.45195317268372
loss: 13.141420  [2176128/6824256]  time: 68.4861958026886
loss: 14.858528  [2304128/6824256]  time: 68.44716596603394
loss: 12.626643  [2432128/6824256]  time: 68.47599077224731
loss: 17.020241  [2560128/6824256]  time: 68.54762482643127
loss: 19.895061  [2688128/6824256]  time: 68.49921298027039
loss: 19.611132  [2816128/6824256]  time: 68.43469285964966
loss: 16.196938  [2944128/6824256]  time: 68.47301387786865
loss: 20.128798  [3072128/6824256]  time: 68.51843810081482
loss: 15.462257  [3200128/6824256]  time: 68.62308716773987
loss: 17.567175  [3328128/6824256]  time: 68.53681087493896
loss: 19.037251  [3456128/6824256]  time: 68.50509977340698
loss: 15.405918  [3584128/6824256]  time: 68.4907968044281
loss: 16.001484  [3712128/6824256]  time: 68.45143294334412
loss: 17.500975  [3840128/6824256]  time: 68.41365313529968
loss: 13.522524  [3968128/6824256]  time: 68.41564011573792
loss: 18.078520  [4096128/6824256]  time: 68.38351583480835
loss: 17.704514  [4224128/6824256]  time: 68.39855289459229
loss: 14.531326  [4352128/6824256]  time: 68.45765686035156
loss: 11.688719  [4480128/6824256]  time: 68.36655402183533
loss: 20.716820  [4608128/6824256]  time: 68.35557413101196
loss: 16.487003  [4736128/6824256]  time: 68.38811588287354
loss: 14.816351  [4864128/6824256]  time: 68.43127036094666
loss: 15.784353  [4992128/6824256]  time: 68.43064188957214
loss: 19.090794  [5120128/6824256]  time: 68.35079908370972
loss: 20.119949  [5248128/6824256]  time: 68.42516708374023
loss: 19.346497  [5376128/6824256]  time: 68.42913794517517
loss: 16.924732  [5504128/6824256]  time: 68.42572784423828
loss: 20.038279  [5632128/6824256]  time: 68.42200183868408
loss: 15.039194  [5760128/6824256]  time: 68.40691876411438
loss: 20.266617  [5888128/6824256]  time: 68.44019722938538
loss: 15.701920  [6016128/6824256]  time: 68.45302605628967
loss: 15.941955  [6144128/6824256]  time: 68.41891407966614
loss: 18.567080  [6272128/6824256]  time: 68.37768793106079
loss: 17.774767  [6400128/6824256]  time: 68.52578997612
loss: 23.473862  [6528128/6824256]  time: 68.47648692131042
loss: 20.453640  [6656128/6824256]  time: 68.4833390712738
loss: 15.911686  [6784128/6824256]  time: 68.49438786506653
Test Error: 
 Accuracy: 36.1%, Avg loss: 18.105860 

Current learning rate: 2e-07
[------------- EPOCH 5 -------------]
loss: 19.815039  [  128/6824256]  time: 0.23419809341430664
loss: 12.783138  [128128/6824256]  time: 68.41747689247131
loss: 16.464497  [256128/6824256]  time: 68.49100017547607
loss: 19.509380  [384128/6824256]  time: 68.44295692443848
loss: 18.944548  [512128/6824256]  time: 68.46328926086426
loss: 17.083580  [640128/6824256]  time: 68.39241313934326
loss: 16.026291  [768128/6824256]  time: 68.38339304924011
loss: 15.983551  [896128/6824256]  time: 68.3751573562622
loss: 17.583780  [1024128/6824256]  time: 68.40872025489807
loss: 22.437748  [1152128/6824256]  time: 68.43228793144226
loss: 22.449764  [1280128/6824256]  time: 68.45373392105103
loss: 20.128572  [1408128/6824256]  time: 68.58186912536621
loss: 14.736979  [1536128/6824256]  time: 68.45476007461548
loss: 20.029488  [1664128/6824256]  time: 68.39853072166443
loss: 19.999670  [1792128/6824256]  time: 68.43622398376465
loss: 18.334545  [1920128/6824256]  time: 68.38080787658691
loss: 14.914536  [2048128/6824256]  time: 68.35737419128418
loss: 13.918978  [2176128/6824256]  time: 68.40481495857239
loss: 25.981449  [2304128/6824256]  time: 68.3849949836731
loss: 22.054405  [2432128/6824256]  time: 68.44997096061707
loss: 17.196421  [2560128/6824256]  time: 68.41688227653503
loss: 14.624710  [2688128/6824256]  time: 68.3926899433136
loss: 13.739420  [2816128/6824256]  time: 68.44882917404175
loss: 22.146397  [2944128/6824256]  time: 68.43101525306702
loss: 19.034660  [3072128/6824256]  time: 68.47147703170776
loss: 15.238445  [3200128/6824256]  time: 68.5255138874054
loss: 15.410170  [3328128/6824256]  time: 68.50225877761841
loss: 17.669689  [3456128/6824256]  time: 68.42300391197205
loss: 16.518635  [3584128/6824256]  time: 68.415776014328
loss: 19.103905  [3712128/6824256]  time: 68.426509141922
loss: 14.165524  [3840128/6824256]  time: 68.41804027557373
loss: 21.223202  [3968128/6824256]  time: 68.40603494644165
loss: 13.422586  [4096128/6824256]  time: 68.41968703269958
loss: 19.874634  [4224128/6824256]  time: 68.4594042301178
loss: 12.572239  [4352128/6824256]  time: 68.46887588500977
loss: 18.133362  [4480128/6824256]  time: 68.40365791320801
loss: 18.676065  [4608128/6824256]  time: 68.40281796455383
loss: 15.532303  [4736128/6824256]  time: 68.40838289260864
loss: 15.574677  [4864128/6824256]  time: 68.38767313957214
loss: 15.931519  [4992128/6824256]  time: 68.37542724609375
loss: 15.065456  [5120128/6824256]  time: 68.4103491306305
loss: 12.307758  [5248128/6824256]  time: 68.4098870754242
loss: 18.971214  [5376128/6824256]  time: 68.50399208068848
loss: 19.001635  [5504128/6824256]  time: 68.35416603088379
loss: 17.605227  [5632128/6824256]  time: 68.41640400886536
loss: 13.555983  [5760128/6824256]  time: 68.39049100875854
loss: 18.158215  [5888128/6824256]  time: 68.39727425575256
loss: 16.119213  [6016128/6824256]  time: 68.44967794418335
loss: 13.945971  [6144128/6824256]  time: 68.39461898803711
loss: 16.463863  [6272128/6824256]  time: 68.43639874458313
loss: 17.142666  [6400128/6824256]  time: 68.47652697563171
loss: 18.948792  [6528128/6824256]  time: 68.54724216461182
loss: 16.117855  [6656128/6824256]  time: 68.50490212440491
loss: 14.720108  [6784128/6824256]  time: 68.41630506515503
Test Error: 
 Accuracy: 32.7%, Avg loss: 18.187125 

Current learning rate: 1.6666666666666665e-07
[------------- EPOCH 6 -------------]
loss: 20.132500  [  128/6824256]  time: 0.23816514015197754
loss: 18.578251  [128128/6824256]  time: 68.42564916610718
loss: 14.914761  [256128/6824256]  time: 68.41888380050659
loss: 16.131363  [384128/6824256]  time: 68.3836600780487
loss: 13.372540  [512128/6824256]  time: 68.40933895111084
loss: 19.031578  [640128/6824256]  time: 68.37426781654358
loss: 15.359682  [768128/6824256]  time: 68.4311900138855
loss: 15.258575  [896128/6824256]  time: 68.36970686912537
loss: 16.892235  [1024128/6824256]  time: 68.43176078796387
loss: 17.309948  [1152128/6824256]  time: 68.39747095108032
loss: 20.873581  [1280128/6824256]  time: 68.38778305053711
loss: 18.388565  [1408128/6824256]  time: 68.4350938796997
loss: 21.046864  [1536128/6824256]  time: 68.39763307571411
loss: 16.198912  [1664128/6824256]  time: 68.38936710357666
loss: 20.690742  [1792128/6824256]  time: 68.43410301208496
loss: 18.113708  [1920128/6824256]  time: 68.49719381332397
loss: 19.504345  [2048128/6824256]  time: 68.42510628700256
loss: 19.945787  [2176128/6824256]  time: 68.46205282211304
loss: 17.342587  [2304128/6824256]  time: 68.45149111747742
